Store Name,Add 1,Add 2,City,State,Zip,Country,Tags,Description,URL,Hours,Phone,Email,Image,Fax,Lat,Long
"Office of the City Clerk, City Hall",121 N. LaSalle St,107,Chicago,IL,60602,United States,"Standard Vehicle Stickers, Daily Parking Passes, Truck Vehicle Stickers, Antique Vehicle Tags, Replacement Stickers",,,Mon - Fri: 8am - 5pm<br />Sat: Closed<br />Sun: Closed...,312-742-5375,,,,,
"Office of the City Clerk, Gale",5430 W. Gale St,,Chicago,IL,60630,United States,"Standard Vehicle Stickers, Daily Parking Passes, Truck Vehicle Stickers, Antique Vehicle Tags, Replacement Stickers",,,"Mon - Fri: 9am - 5pm<br /><a href=\http://chicityclerk.com/office-info/office-locations/\"" target=\""_blank\"">View Special Saturday/Sunday Hours</a>""",312-742-5318,,,,41.969917,-87.764549
"Office of the City Clerk, Archer",5674 S. Archer Ave,,Chicago,IL,60638,United States,"Standard Vehicle Stickers, Daily Parking Passes, Truck Vehicle Stickers, Antique Vehicle Tags, Replacement Stickers",,,"Mon - Fri: 9am - 5pm<br /><a href=\http://chicityclerk.com/office-info/office-locations/\"" target=\""_blank\"">View Special Saturday/Sunday Hours</a>""",312-745-1100,,,,41.797157,-87.753029
Chicago Department of Finance Office,4770 S. Kedzie Blvd,,Chicago,IL,60632,United States,Standard Vehicle Stickers,,,Mon - Fri: 8am - 6:30pm<br />Sat: Closed<br />Sun: Closed,Phone number not available,,,,41.806381,-87.703926
Chicago Department of Finance Office,2006 E. 95th St,,Chicago,IL,60617,United States,Standard Vehicle Stickers,,,Mon - Fri: 8am - 6:30pm<br />Sat: Closed<br />Sun: Closed,Phone number not available,,,,41.722492,-87.575165
Chicago Department of Finance Office,2550 W. Addison St,,Chicago,IL,60618,United States,Standard Vehicle Stickers,,,Mon - Fri: 8am - 6:30pm<br />Sat: Closed<br />Sun: Closed,Phone number not available,,,,41.946724,-87.692444
Chicago Department of Finance Office,400 W. Superior St,,Chicago,IL,60654,United States,Standard Vehicle Stickers,,,Mon - Fri: 8am - 4:30pm<br />Sat: 8am - 3:30pm<br />Sun: Closed,Phone number not available,,,,41.895519,-87.638702
Currency Exchange,1646 W. Van Buren St,,Chicago,IL,60612,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,312-226-3090,,,,41.876331,-87.668251
Currency Exchange,8263 W. Belmont Ave,,River Grove,IL,60171,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,708-453-1120,,,,41.937645,-87.831924
Suburban Bank and Trust Chicago Branch,9901 S. Western Ave,,Chicago,IL,60643,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-987-3230,,,,41.713516,-87.681816
Currency Exchange,6714 S. Stony Island Ave,,Chicago,IL,60649,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-363-0207,,,,41.772984,-87.586258
Currency Exchange,1625 N. Mannheim Rd,,Stone Park,IL,60165,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,708-345-3433,,,,41.901352,-87.883736
State Bank Countyside,3323 N. Clark St Chicago,,Chicago,IL,60657,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-755-2500,,,,41.942287,-87.652435
Signature Bank,6400 N. Northwest Highway,,Chicago,IL,60631,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-467-5600,,,,41.99678,-87.806473
Signature Bank,191 N. Wacker Chicago,,Chicago,IL,60606,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,312-506-3404,,,,41.885517,-87.636841
Currency Exchange,83 W. Sibley Blvd,,South Holland,IL,60473,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,708-339-6888,,,,41.62265,-87.619049
Currency Exchange,15010 Michigan City,,Dolton,IL,60419,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,708-841-3130,,,,41.623154,-87.582901
Currency Exchange,5056 North Sheridan Rd,,Chicago,IL,60640,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-561-5013,,,,41.974667,-87.654991
Second Federal Savings and Loan,4281 S. Archer Ave,,Chicago,IL,60632,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-247-2220,,,,41.815678,-87.701645
Second Federal Savings and Loan,3960 W. 26th St,,Chicago,IL,60623,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-277-8500,,,,41.844288,-87.723892
Seaway Bank & Trust,645 E. 87th St,,Chicago,IL,60619,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-602-4000,,,,41.736607,-87.608185
Seaway Bank & Trust,11116 S. Michigan Ave,,Chicago,IL,60628,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-660-8950,,,,41.692112,-87.621025
Seaway Bank & Trust,3501 S. Martin Luther King Drive,,Chicago,IL,60653,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-624-7350,,,,41.831013,-87.61731
Currency Exchange,8063 S. Cicero Ave,,Chicago,IL,60652,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-767-2965,,,,41.746193,-87.741241
Currency Exchange,9452 Irving Park Rd,,Schiller Park,IL,60176,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-678-5277,,,,41.95446,-87.863243
Currency Exchange,1143 S. Western Ave,,Chicago,IL,60612,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,312-666-7909,,,,41.867271,-87.685982
Currency Exchange,2806 W. Roosevelt Rd,,Chicago,IL,60612,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-533-0600,,,,41.866543,-87.696159
Currency Exchange,334-36 S. Mannheim Rd,,Hillside,IL,60162,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,708-544-1801,,,,41.864185,-87.88253
Currency Exchange,20518 N. Milwaukee Ave,,Deerfield,IL,60015,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-459-9800,,,,42.161057,-87.919205
Currency Exchange,3720 W. Sauk Trail,,Richton Park,IL,60471,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,708-481-4510,,,,41.484348,-87.705521
Pollux LLC,9641 W. Grand Ave,,Franklin Park,IL,60131,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-451-9060,,,,41.929737,-87.866608
Currency Exchange,6043 N. Cicero Ave,,Chicago,IL,60646,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-777-4140,,,,41.991062,-87.748299
Currency Exchange,101 W. Grand Ave,,Bensenville,IL,60106,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,630-595-0777,,,,41.931309,-87.942307
Currency Exchange,6165 N. Broadway St,,Chicago,IL,60660,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-262-2351,,,,41.994034,-87.660385
Currency Exchange,832 W. Fullerton Ave,,Chicago,IL,60614,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-549-0340,,,,41.925457,-87.650101
Currency Exchange,11932 S. Halsted St,,Chicago,IL,60628,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-785-3141,,,,41.677151,-87.641953
Currency Exchange,6903 S. Halsted St,,Chicago,IL,60621,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-224-5459,,,,41.768597,-87.644485
Currency Exchange,7519 N. Milwaukee Ave,,Niles,IL,60714,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-647-8366,,,,42.017529,-87.806267
Currency Exchange,5739 S. Harlem Ave,,Chicago,IL,60638,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-586-2134,,,,41.787582,-87.801338
Currency Exchange,7207 Roosevelt Rd,,Forest Park,IL,60130,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,708-771-5540,,,,41.865002,-87.804474
Currency Exchange,1856 W. Pershing Rd,,Chicago,IL,60609,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-523-3347,,,,41.82333,-87.67244
Currency Exchange,1605 Maple Ave,,Evanston,IL,60201,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-328-5337,,,,42.047295,-87.684959
Currency Exchange,690 Milwaukee Ave,,Prospect Heights,IL,60070,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-537-7575,,,,42.107895,-87.889519
Pacific Global Bank,3233 S. Ashland Ave,,Chicago,IL,60608,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-843-3233,,,,41.834667,-87.665649
Pacific Global Bank,2156A S. Archer Ave,,Chicago,IL,60616,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,312-225-2220,,,,41.853291,-87.633942
Pacific Global Bank,2323 S. Wentworth Ave,,Chicago,IL,60616,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,312-225-2323,,,,41.850323,-87.63195
Currency Exchange,8018 Waukegan Rd,,Niles,IL,60714,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-967-7770,,,,42.0271,-87.802216
Currency Exchange,4035 W. Oakton St,,Skokie,IL,60076,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-674-1000,,,,42.026234,-87.729492
Currency Exchange,6756 W. Belmont Ave,,Chicago,IL,60634,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-427-5690,,,,41.938175,-87.794968
Currency Exchange,4101 N. Lincoln Ave,,Chicago,IL,60618,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-549-5000,,,,41.9561,-87.680069
Northbrook Check Cashers,2750 Dundee Rd,,Northbrook,IL,60062,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-272-6500,,,,42.138348,-87.846748
Currency Exchange,683 W. North Ave,,Elmhurst,IL,60126,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,630-279-2110,,,,41.905697,-87.967712
Currency Exchange,4009 W. North Ave,,Chicago,IL,60639,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-772-6100,,,,41.909863,-87.72718
Currency Exchange,3401 W. North Ave,,Chicago,IL,60647,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-772-2188,,,,41.910042,-87.712051
Currency Exchange,3007 E. 92nd St,,Chicago,IL,60617,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-734-0044,,,,41.728237,-87.550827
Currency Exchange,4001 W. Fullerton Ave,,Chicago,IL,60639,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-772-0638,,,,41.92448,-87.726868
Currency Exchange,2739 N. Pulaski Rd,,Chicago,IL,60639,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-252-1267,,,,41.930618,-87.726921
Currency Exchange,800 N. Milwaukee Ave,,Chicago,IL,60622,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,312-666-0988,,,,41.896301,-87.65551
Currency Exchange,1505 A Elmhurst Rd,,Des Plaines,IL,60018,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-593-0005,,,,42.024422,-87.940506
Currency Exchange,6008 W. North Ave,,Chicago,IL,60639,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-889 8388,,,,41.909241,-87.775803
Currency Exchange,4453 W. Lincoln Hwy,,Matteson,IL,60443,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,708-481-8720,,,,41.506153,-87.725121
Currency Exchange,8259 S. Ashland Ave,,Chicago,IL,60620,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-723-7500,,,,41.743443,-87.663261
Currency Exchange,4749 W. Fullerton Ave,,Chicago,IL,60639,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-237-8777,,,,41.92424,-87.745361
Gallardo One Stop Services Inc,5306 S. Pulaski Rd,,Chicago,IL,60632,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-582-8840,,,,41.796932,-87.723259
Currency Exchange,148 W. Garfield Blvd,,Chicago,IL,60609,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-268-8400,,,,41.794586,-87.629356
Currency Exchange,2934 W. Grand Ave,,Chicago,IL,60622,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-278-2155,,,,41.895897,-87.700508
Currency Exchange,2633 Mannheim Rd,,Franklin Park,IL,60131,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,847-455-5667,,,,41.926598,-87.884514
Currency Exchange,1052 E. 162nd St,,South Holland,IL,60473,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,708-596-7171,,,,41.600815,-87.591026
Currency Exchange,744 N. Damen Ave,,Chicago,IL,60622,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,312-733-4747,,,,41.895435,-87.67704
Currency Exchange,1356 W. Diversey Pkwy,,Chicago,IL,60614,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-248-6224,,,,41.932495,-87.66259
Currency Exchange,10108 S. Ewing Ave,,Chicago,IL,60617,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,773-375-2398,,,,41.7117,-87.535278
Currency Exchange,721 W. Armitage Ave,,Chicago,IL,60614,United States,Standard Vehicle Stickers,Addional $5.50 Service Fee,,Please call for hours.,312-266-8040,,,,41.918205,-87.646866
